X,Y
1.5,2.97E-02
1.51,5.19E-02
1.52,7.94E-02
1.53,0.11190784
1.54,0.149322748
1.55,0.191417813
1.56,0.237957835
1.57,0.288682699
1.58,0.343306124
1.59,0.401521623
1.6,0.463000834
1.61,0.527396917
1.62,0.594345927
1.63,0.663469017
1.64,0.734374523
1.65,0.806660175
1.66,0.879915595
1.67,0.953724205
1.68,1.02766585
1.69,1.10131991
1.7,1.17426431
1.71,1.2460829
1.72,1.31636441
1.73,1.3847059
1.74,1.45071459
1.75,1.51401043
1.76,1.57422781
1.77,1.63101816
1.78,1.68405151
1.79,1.7330184
1.8,1.77763176
1.81,1.81762886
1.82,1.852772
1.83,1.88284945
1.84,1.90767872
1.85,1.9271059
1.86,1.94100666
1.87,1.94928741
1.88,1.95188558
1.89,1.94877005
1.9,1.93994117
1.91,1.92543113
1.92,1.90530336
1.93,1.87965226
1.94,1.84860265
1.95,1.8123101
1.96,1.77095819
1.97,1.72475863
1.98,1.67394996
1.99,1.61879623
2,1.55958533
2.01,1.49662721
2.02,1.43025279
2.03,1.36081147
2.04,1.28866947
2.05,1.21420765
2.06,1.13781953
2.07,1.05990875
2.08,0.980887234
2.09,0.901172519
2.1,0.821185768
2.11,0.741348922
2.12,0.662082791
2.13,0.583802581
2.14,0.506923079
2.15,0.431845158
2.16,0.358960867
2.17,0.288649559
